Variant,PR-AUC,Precision,Recall,F1,Accuracy,Best_Threshold,Pred_Pos_Rate,Valid_Size,Pos_Rate_Valid
All 6 features (NB),0.9774733165108653,0.9028533849694933,0.9451902849493211,0.9235196292766784,0.9867125488986641,0.9806067807015026,0.08886003213920496,308035,0.0848767185547097
Reduced 3 features (NB),0.9908937069989069,0.9772340754483612,0.9670300248613501,0.97125079218759,0.9951401626438554,0.9694307596235276,0.0841657603843719,308035,0.0848767185547097
