Feature Set / Variant,Precision,Recall,F1,PR-AUC,Accuracy (+ve),Accuracy (mean),Threshold,Valid size,Pos rate (valid)
Counts only (NB),0.10568402532383772,0.8179001721170396,0.1830056388612474,0.1021308496893949,0.9179575444635686,0.3043420390540036,0.3514217132994965,308035,0.0848767185547097
All features (NB),0.9028533849694933,0.9451902849493211,0.9235196292766784,0.9774733165108653,0.9451902849493211,0.9867125488986641,0.9806067807015026,308035,0.0848767185547097
PCA(3) + NB,0.6810904129423886,0.9355517307324537,0.7882821186290465,0.6950759672884285,0.9355517307324537,0.9573457561640722,0.154903618666408,308035,0.0848767185547097
