recall,precision
1.0,0.0848767185547097
1.0,0.08670261450913287
1.0,0.08670290203517196
1.0,0.08670318956311807
1.0,0.0867034770929712
1.0,0.08670376462473138
1.0,0.08670405215839863
1.0,0.08670433969397298
1.0,0.08670462723145443
1.0,0.08670491477084301
1.0,0.08670520231213873
1.0,0.08670548985534161
1.0,0.08670577740045168
1.0,0.08670606494746896
1.0,0.08670635249639345
1.0,0.08670664004722518
1.0,0.08670692759996418
1.0,0.08670721515461045
1.0,0.08670750271116402
1.0,0.08670779026962491
1.0,0.08670807782999314
1.0,0.08670836539226871
1.0,0.08670865295645167
1.0,0.08670894052254201
1.0,0.08670922809053976
1.0,0.08670951566044494
1.0,0.08670980323225758
1.0,0.08671009080597768
1.0,0.08671037838160527
1.0,0.08671066595914036
1.0,0.08671095353858298
1.0,0.08671124111993314
1.0,0.08671152870319086
1.0,0.08671181628835617
1.0,0.08671210387542909
1.0,0.08671239146440961
1.0,0.08671267905529778
1.0,0.08671296664809361
1.0,0.0867132542427971
1.0,0.08671354183940831
1.0,0.08671382943792723
1.0,0.08671411703835387
1.0,0.08671440464068828
1.0,0.08671469224493045
1.0,0.08671497985108041
1.0,0.08671526745913818
1.0,0.08671555506910379
1.0,0.08671584268097723
1.0,0.08671613029475855
1.0,0.08671641791044776
1.0,0.08671670552804486
1.0,0.0867169931475499
1.0,0.08671728076896287
1.0,0.08671756839228381
1.0,0.08671785601751272
1.0,0.08671814364464965
1.0,0.08671843127369458
1.0,0.08671871890464755
1.0,0.08671900653750858
1.0,0.08671929417227768
1.0,0.0867195818089549
1.0,0.0867198694475402
1.0,0.08672015708803364
1.0,0.08672044473043525
1.0,0.08672073237474501
1.0,0.08672102002096296
1.0,0.08672130766908914
1.0,0.08672159531912353
1.0,0.08672188297106617
1.0,0.08672217062491708
1.0,0.08672245828067626
1.0,0.08672274593834375
1.0,0.08672303359791958
1.0,0.08672332125940373
1.0,0.08672360892279625
1.0,0.08672389658809715
1.0,0.08672418425530644
1.0,0.08672447192442416
1.0,0.08672475959545031
1.0,0.08672504726838491
1.0,0.086725334943228
1.0,0.08672562261997957
1.0,0.08672591029863966
1.0,0.08672619797920827
1.0,0.08672648566168543
1.0,0.08672677334607118
1.0,0.0867270610323655
1.0,0.08672734872056843
1.0,0.08672763641067999
1.0,0.08672821179662905
1.0,0.08672849949246661
1.0,0.08672878719021286
1.0,0.08672907488986784
1.0,0.08672936259143156
1.0,0.08672965029490404
1.0,0.08672993800028528
1.0,0.08673022570757534
1.0,0.08673051341677421
1.0,0.08673080112788191
1.0,0.08673108884089846
1.0,0.08673137655582389
1.0,0.08673166427265822
1.0,0.08673195199140145
1.0,0.08673223971205361
1.0,0.08673252743461472
1.0,0.0867328151590848
1.0,0.08673310288546388
1.0,0.08673339061375195
1.0,0.08673367834394904
1.0,0.08673396607605519
1.0,0.0867342538100704
1.0,0.08673454154599469
1.0,0.08673482928382807
1.0,0.08673511702357059
1.0,0.08673540476522223
1.0,0.08673569250878305
1.0,0.08673598025425303
1.0,0.08673626800163221
1.0,0.08673655575092061
1.0,0.08673684350211824
1.0,0.08673713125522513
1.0,0.08673741901024129
1.0,0.08673770676716673
1.0,0.08673799452600149
1.0,0.08673828228674559
1.0,0.08673857004939901
1.0,0.08673885781396182
1.0,0.08673914558043401
1.0,0.0867394333488156
1.0,0.08673972111910662
1.0,0.08674000889130709
1.0,0.08674058444143642
1.0,0.08674087221936533
1.0,0.08674115999920376
1.0,0.08674173556460923
1.0,0.08674202335017633
1.0,0.08674231113765303
1.0,0.08674259892703934
1.0,0.08674288671833529
1.0,0.08674317451154087
1.0,0.08674346230665614
1.0,0.0867437501036811
1.0,0.08674403790261576
1.0,0.08674432570346015
1.0,0.08674461350621429
1.0,0.0867449013108782
1.0,0.0867451891174519
1.0,0.08674547692593539
1.0,0.08674576473632871
1.0,0.08674605254863187
1.0,0.0867463403628449
1.0,0.0867466281789678
1.0,0.0867469159970006
1.0,0.08674720381694333
1.0,0.08674749163879598
1.0,0.0867477794625586
1.0,0.0867480672882312
1.0,0.08674835511581379
1.0,0.08674864294530638
1.0,0.08674893077670902
1.0,0.0867492186100217
1.0,0.08674950644524446
1.0,0.0867497942823773
1.0,0.08675008212142025
1.0,0.08675036996237333
1.0,0.08675065780523657
1.0,0.08675094565000996
1.0,0.08675123349669353
1.0,0.08675152134528731
1.0,0.08675180919579131
1.0,0.08675209704820556
1.0,0.08675238490253007
1.0,0.08675267275876486
1.0,0.08675296061690994
1.0,0.08675324847696535
1.0,0.08675353633893108
1.0,0.08675382420280718
1.0,0.08675411206859365
1.0,0.08675439993629051
1.0,0.08675468780589779
1.0,0.0867549756774155
1.0,0.08675526355084366
1.0,0.0867555514261823
1.0,0.0867558393034314
1.0,0.08675612718259104
1.0,0.08675641506366119
1.0,0.0867567029466419
1.0,0.08675699083153315
1.0,0.08675727871833501
1.0,0.08675756660704746
1.0,0.08675785449767053
1.0,0.08675814239020424
1.0,0.08675843028464862
1.0,0.08675871818100367
1.0,0.08675900607926942
1.0,0.0867592939794459
1.0,0.0867595818815331
1.0,0.08675986978553106
1.0,0.0867601576914398
1.0,0.08676044559925933
1.0,0.08676073350898966
1.0,0.08676102142063084
1.0,0.08676130933418286
1.0,0.08676159724964576
1.0,0.08676188516701953
1.0,0.08676217308630423
1.0,0.08676246100749983
1.0,0.0867627489306064
1.0,0.08676303685562392
1.0,0.08676332478255243
1.0,0.08676361271139194
1.0,0.08676390064214247
1.0,0.08676418857480404
1.0,0.08676447650937667
1.0,0.08676476444586038
1.0,0.08676534032456111
1.0,0.08676562826677817
1.0,0.08676591621090639
1.0,0.08676620415694578
