Model,Feature_Set,PR_AUC,Precision,Recall,F1,Accuracy,Best_Threshold,Valid_Size,Pos_Rate_Valid
GaussianNB,All 6,0.9774733192395748,0.9028533849694933,0.9451902849493211,0.9235196292766784,0.9867125488986641,0.9806067807015081,308035,0.0848767185547097
LogReg,All 6,0.9987206635325625,0.9871549079754601,0.9847007075922739,0.9859074024432275,0.9976106611261707,0.5390456971138422,308035,0.0848767185547097
KNN,All 6,0.9999988337280137,0.9997321291902648,0.9992350353796137,0.9994455384968357,0.9999058548541562,0.6,308035,0.0848767185547097
DecisionTree,All 6,1.0,1.0,1.0,0.15647255969836615,0.0848767185547097,0.0,308035,0.0848767185547097
GaussianNB,Top 3,0.9908937069989069,0.9772340754483612,0.9670300248613501,0.97125079218759,0.9951401626438554,0.9694307596235276,308035,0.0848767185547097
LogReg,Top 3,0.9983616615743537,1.0,0.9877605660738191,0.9933076923076923,0.9988702582498742,0.5470783917825326,308035,0.0848767185547097
KNN,Top 3,0.9899152664967642,1.0,0.9886785236182827,0.9942879122992595,0.9990358238511857,0.8,308035,0.0848767185547097
DecisionTree,Top 3,0.998502691743367,1.0,0.9886785236182827,0.9792375765827094,0.9964354699952928,0.05037637521713955,308035,0.0848767185547097
